pid,epsilon,alpha,cr,cr_realized,file_bytes,r2_wheel,balanced_accuracy_choice,null_choice,balanced_accuracy_feedback,null_feedback
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,250.0,96.0,195.95941289140728,122.49558555763144,16513524,0.0294661945735961,0.5354562877782691,0.50424902271035,0.5084695662665139,0.5004378197560017
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,300.0,14.0,79.74319948581574,58.31149284238959,34690139,0.0454643347584136,0.5324008550788737,0.5047734084139985,0.565072087832539,0.4997366522366521
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,300.0,40.0,153.18908744744394,101.0982173665324,20008600,0.0396838738591907,0.5721804511278196,0.5017060685033506,0.5645894914640767,0.5014194433512615
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,300.0,55.0,176.0751322769995,110.22245470917952,18352284,0.0364760627062922,0.5433067964027716,0.5053951507818316,0.5141159437775231,0.4995773208273208
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,300.0,75.0,193.6062600205565,121.23966820395374,16684587,0.0322962190167794,0.5376934984520124,0.4993299981384959,0.5056463775110093,0.5012243648607285
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,300.0,96.0,203.89285424364044,125.65733516478056,16098016,0.029466267697485,0.5354562877782691,0.4981411485480267,0.5084695662665139,0.500178243473698
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,350.0,14.0,82.66800390374227,59.85173456915179,33797413,0.0452622532752471,0.5362229102167183,0.5022265450483991,0.5614224527960427,0.5028959508504963
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,350.0,28.0,130.98255664683015,88.33746163304102,22898935,0.0404359878977518,0.5185131947515849,0.4998637844378257,0.5451710200880738,0.4990928221610039
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,350.0,40.0,161.70822132262631,104.4757295282794,19361758,0.0400154679489171,0.5752874834144184,0.5008565711094565,0.5561199251975629,0.4983428986838077
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,350.0,55.0,187.30562738332068,114.21198334027996,17711222,0.0367488421766221,0.5435242518059855,0.5022221239761727,0.5141159437775231,0.4977784883466702
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,350.0,96.0,219.02899462807437,130.8559394491528,15458479,0.0294662183037993,0.5369268760135634,0.503683125465376,0.5084695662665139,0.499738455988456
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,450.0,14.0,90.43096184516818,64.04220813768858,31585947,0.042852350506225,0.5333333333333333,0.5086302587490692,0.5566025215660252,0.4979662425116972
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,450.0,40.0,183.49954444874624,112.89015064399833,17918603,0.0383366995016195,0.5758882500368568,0.4977530249441549,0.5274054412740544,0.4985017928199746
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,450.0,55.0,216.34879649297667,124.08922447738684,16301446,0.036911483820784,0.5452122954444936,0.4995635238272525,0.5048199312300176,0.5000920460011369
1e104bf4-7a24-4624-a5b2-c2c8289c0de7,450.0,75.0,243.0520532717884,138.0808793123103,14649630,0.0326376170467583,0.5516438154209051,0.5053610852568875,0.5056463775110093,0.4996388123660851
6638cfb3-3831-4fc2-9327-194b76cf22e1,50.0,14.0,64.1388938979091,50.75067817416689,32505293,0.0375980690080343,0.5863806273362587,0.5007258064080112,0.5095073695392378,0.4979576999339061
6638cfb3-3831-4fc2-9327-194b76cf22e1,50.0,28.0,80.77097492682793,63.00957775447097,26181189,0.0429233737351454,0.5745164960182025,0.4950068096135848,0.5142610543088567,0.4998930105750165
6638cfb3-3831-4fc2-9327-194b76cf22e1,50.0,40.0,87.6136914603983,67.11016344107823,24581458,0.0386430057914424,0.5800127062925697,0.4985619807297937,0.5095073695392378,0.5010695187165777
6638cfb3-3831-4fc2-9327-194b76cf22e1,50.0,55.0,92.14206470665508,71.34314709445019,23122973,0.0256978965120283,0.5697737984427405,0.4938579367006004,0.5047536847696189,0.4991539986781229
6638cfb3-3831-4fc2-9327-194b76cf22e1,50.0,75.0,94.95959062956489,73.46876492636737,22453973,0.0170749456726704,0.5686878536707889,0.4988934526606153,0.5,0.5
6638cfb3-3831-4fc2-9327-194b76cf22e1,50.0,96.0,96.26399915744928,74.64799792861861,22099262,0.0064105773988308,0.5998256578461356,0.4989760979589542,0.5117647058823529,0.5002048909451421
6638cfb3-3831-4fc2-9327-194b76cf22e1,100.0,14.0,82.8713010423559,61.930272952369194,26637468,0.0376074951006083,0.588087111977897,0.5047186404994402,0.5095073695392378,0.4986582947785855
6638cfb3-3831-4fc2-9327-194b76cf22e1,100.0,28.0,112.86343855704962,81.19398363535824,20317585,0.0429278723264657,0.5745164960182025,0.5056596147472603,0.5142610543088567,0.500245223216968
6638cfb3-3831-4fc2-9327-194b76cf22e1,100.0,40.0,126.6783119544266,88.13297248833831,18717917,0.0386430057914424,0.5800127062925697,0.5065476245829482,0.5095073695392378,0.4996657754010696
6638cfb3-3831-4fc2-9327-194b76cf22e1,100.0,55.0,136.35003955671434,95.58053034421992,17259432,0.0256978965120283,0.5697737984427405,0.5033416847292185,0.5047536847696189,0.5012557832121612
6638cfb3-3831-4fc2-9327-194b76cf22e1,100.0,75.0,142.58010668061252,99.4347623979894,16590432,0.0170749456726704,0.5686878536707889,0.4909810979832838,0.5,0.5
6638cfb3-3831-4fc2-9327-194b76cf22e1,100.0,96.0,145.5217345422026,101.6071700172724,16235721,0.0064105773988308,0.5998256578461356,0.500510488535033,0.5117647058823529,0.4995042961004626
6638cfb3-3831-4fc2-9327-194b76cf22e1,150.0,14.0,94.03309044029189,68.04347184429818,24244290,0.0376051635230566,0.5902516141423991,0.4922149748241637,0.5153897224804143,0.4982231643934386
6638cfb3-3831-4fc2-9327-194b76cf22e1,250.0,14.0,110.94868008358668,76.39346365457969,21594330,0.0395750468552719,0.6059867322665957,0.5081220672570315,0.5260257601912096,0.5008093492759719
6638cfb3-3831-4fc2-9327-194b76cf22e1,250.0,28.0,169.6436000055757,106.6815566532115,15463457,0.0433695499719114,0.5676905574516496,0.4988862726948822,0.5142610543088567,0.5012961154839871
6638cfb3-3831-4fc2-9327-194b76cf22e1,250.0,40.0,202.79951979532945,118.93523060735734,13870286,0.0384105806193157,0.5661096582598288,0.5032113113115277,0.5095073695392378,0.5000167112299466
